1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
model_number,num_zones,star_age,log_dt,star_mass,log_xmstar,log_abs_mdot,mass_conv_core,conv_mx1_top,conv_mx1_bot,conv_mx2_top,conv_mx2_bot,mx1_top,mx1_bot,mx2_top,mx2_bot,log_LH,log_LHe,log_LZ,log_Lnuc,pp,cno,tri_alpha,epsnuc_M_1,epsnuc_M_2,epsnuc_M_3,epsnuc_M_4,epsnuc_M_5,epsnuc_M_6,epsnuc_M_7,epsnuc_M_8,he_core_mass,co_core_mass,one_core_mass,fe_core_mass,neutron_rich_core_mass,log_Teff,log_L,log_R,log_g,v_div_csound_surf,log_cntr_P,log_cntr_Rho,log_cntr_T,center_mu,center_ye,center_abar,center_h1,center_he4,center_c12,center_o16,surface_c12,surface_o16,total_mass_h1,total_mass_he4,num_retries,num_iters
45,678,1.8281309940044158E-001,-1.5160251739045081E+000,1.3999999999999997E+000,3.3444633946038905E+001,-9.8999999999999986E+001,0.0000000000000000E+000,9.9999999865462497E-001,2.3267210284023430E-002,0.0000000000000000E+000,0.0000000000000000E+000,9.9999999865462497E-001,2.3267210284023430E-002,0.0000000000000000E+000,0.0000000000000000E+000,-5.4878103575241974E+000,-9.8999999999999986E+001,-9.8999999999999986E+001,-5.4878103575241974E+000,-5.4878103575371631E+000,-1.6012815187561898E+001,-9.8999999999999986E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,3.6778669867084295E+000,5.7570523782291305E-001,4.5477180635909531E-001,3.6746520502631803E+000,0.0000000000000000E+000,1.4433664424099184E+001,-2.7319326029789037E-001,6.5813749958689698E+000,6.2123933248533514E-001,8.5000496627254207E-001,1.2966429887659308E+000,7.0000000000000007E-001,2.7997020236474890E-001,3.4468833607861305E-003,9.3805276451495410E-003,3.4468833607861340E-003,9.3805276451495393E-003,9.7999999999999998E-001,3.9195828331064847E-001,0,2
50,678,4.5497190750010669E-001,-1.1201189436663841E+000,1.3999999999999997E+000,3.3444633946038905E+001,-9.8999999999999986E+001,0.0000000000000000E+000,9.9999999865462497E-001,2.3256197236235815E-002,0.0000000000000000E+000,0.0000000000000000E+000,9.9999999865462497E-001,2.3256197236235815E-002,0.0000000000000000E+000,0.0000000000000000E+000,-5.4878098893657361E+000,-9.8999999999999986E+001,-9.8999999999999986E+001,-5.4878098893657361E+000,-5.4878098893787017E+000,-1.6012813693667852E+001,-9.8999999999999986E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,3.6778669866546214E+000,5.7570514188847477E-001,4.5477175849949236E-001,3.6746521459823867E+000,0.0000000000000000E+000,1.4433664613853606E+001,-2.7319311489810982E-001,6.5813750402207001E+000,6.2123933246286045E-001,8.5000496627254196E-001,1.2966429887659312E+000,6.9999999999999984E-001,2.7997020236474879E-001,3.4468833607861284E-003,9.3805276451495393E-003,3.4468833607861340E-003,9.3805276451495393E-003,9.7999999999999954E-001,3.9195828331064847E-001,0,2
55,678,1.1321901128706655E+000,-7.2421271342826010E-001,1.3999999999999997E+000,3.3444633946038905E+001,-9.8999999999999986E+001,0.0000000000000000E+000,9.9999999865462497E-001,2.3252838972512704E-002,0.0000000000000000E+000,0.0000000000000000E+000,9.9999999865462497E-001,2.3252838972512704E-002,0.0000000000000000E+000,0.0000000000000000E+000,-5.4878087244359879E+000,-9.8999999999999986E+001,-9.8999999999999986E+001,-5.4878087244359879E+000,-5.4878087244489535E+000,-1.6012809976332498E+001,-9.8999999999999986E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,3.6778669865293274E+000,5.7570490322156087E-001,4.5477163941662208E-001,3.6746523841481267E+000,0.0000000000000000E+000,1.4433665086035347E+001,-2.7319275308975549E-001,6.5813751505868021E+000,6.2123933240693341E-001,8.5000496627254163E-001,1.2966429887659319E+000,6.9999999999999918E-001,2.7997020236474879E-001,3.4468833607861275E-003,9.3805276451495393E-003,3.4468833607861340E-003,9.3805276451495393E-003,9.7999999999999921E-001,3.9195828331064847E-001,0,2
60,678,2.8173257176583335E+000,-3.2830648319013606E-001,1.3999999999999997E+000,3.3444633946038905E+001,-9.8999999999999986E+001,0.0000000000000000E+000,9.9999999865462497E-001,2.3252658036900461E-002,0.0000000000000000E+000,0.0000000000000000E+000,9.9999999865462497E-001,2.3252658036900461E-002,0.0000000000000000E+000,0.0000000000000000E+000,-5.4878058257150713E+000,-9.8999999999999986E+001,-2.1373129692142662E+001,-5.4878058257150713E+000,-5.4878058257280369E+000,-1.6012800726381140E+001,-9.8999999999999986E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,3.6778669862208297E+000,5.7570430936123118E-001,4.5477134310345368E-001,3.6746529767744636E+000,0.0000000000000000E+000,1.4433666260980305E+001,-2.7319185279151004E-001,6.5813754252153576E+000,6.2123933226776795E-001,8.5000496627254107E-001,1.2966429887659336E+000,6.9999999999999762E-001,2.7997020236474879E-001,3.4468833607861271E-003,9.3805276451495393E-003,3.4468833607861327E-003,9.3805276451495393E-003,9.7999999999999865E-001,3.9195828331064847E-001,0,2
65,678,7.0104823457635828E+000,6.7599747047987935E-002,1.3999999999999997E+000,3.3444633946038905E+001,-9.8999999999999986E+001,0.0000000000000000E+000,9.9999999865462497E-001,2.3252888713165509E-002,0.0000000000000000E+000,0.0000000000000000E+000,9.9999999865462497E-001,2.3252888713165509E-002,0.0000000000000000E+000,0.0000000000000000E+000,-5.4877986127884428E+000,-9.8999999999999986E+001,-9.8999999999999986E+001,-5.4877986127884428E+000,-5.4877986128014085E+000,-1.6012777709614006E+001,-9.8999999999999986E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,3.6778669854533894E+000,5.7570283165139280E-001,4.5477060578341422E-001,3.6746544514145425E+000,0.0000000000000000E+000,1.4433669184612887E+001,-2.7318961256595753E-001,6.5813761085772295E+000,6.2123933192148006E-001,8.5000496627254007E-001,1.2966429887659374E+000,6.9999999999999407E-001,2.7997020236474879E-001,3.4468833607861262E-003,9.3805276451495393E-003,3.4468833607861327E-003,9.3805276451495393E-003,9.7999999999999832E-001,3.9195828331064847E-001,0,2
70,678,1.7444397846610435E+001,4.6350597728611193E-001,1.3999999999999997E+000,3.3444633946038905E+001,-9.8999999999999986E+001,0.0000000000000000E+000,9.9999999865462497E-001,2.3253470491671639E-002,0.0000000000000000E+000,0.0000000000000000E+000,9.9999999865462497E-001,2.3253470491671639E-002,0.0000000000000000E+000,0.0000000000000000E+000,-5.4877806648966194E+000,-9.8999999999999986E+001,-2.1072099696478681E+001,-5.4877806648966194E+000,-5.4877806649095868E+000,-1.6012720437223802E+001,-9.8999999999999986E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,3.6778669835430708E+000,5.7569915466694799E-001,4.5476877111182984E-001,3.6746581207577114E+000,0.0000000000000000E+000,1.4433676459485699E+001,-2.7318403820849019E-001,6.5813778089802879E+000,6.2123933105981799E-001,8.5000496627253685E-001,1.2966429887659472E+000,6.9999999999998519E-001,2.7997020236474879E-001,3.4468833607861258E-003,9.3805276451495393E-003,3.4468833607861327E-003,9.3805276451495393E-003,9.7999999999999787E-001,3.9195828331064847E-001,0,2
75,678,4.3407318465677669E+001,8.5941220752423608E-001,1.3999999999999997E+000,3.3444633946038905E+001,-9.8999999999999986E+001,0.0000000000000000E+000,9.9999999865462497E-001,2.3254939323809422E-002,0.0000000000000000E+000,0.0000000000000000E+000,9.9999999865462497E-001,2.3254939323809422E-002,0.0000000000000000E+000,0.0000000000000000E+000,-5.4877360059534528E+000,-9.8999999999999986E+001,-9.8999999999999986E+001,-5.4877360059534528E+000,-5.4877360059664229E+000,-1.6012577929688000E+001,-9.8999999999999986E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,3.6778669787896567E+000,5.7569000536977477E-001,4.5476420597007050E-001,3.6746672510412299E+000,0.0000000000000000E+000,1.4433694561301705E+001,-2.7317016768688313E-001,6.5813820399959164E+000,6.2123932891580935E-001,8.5000496627252964E-001,1.2966429887659721E+000,6.9999999999996310E-001,2.7997020236474879E-001,3.4468833607861258E-003,9.3805276451495410E-003,3.4468833607861327E-003,9.3805276451495393E-003,9.7999999999999576E-001,3.9195828331064847E-001,0,2
80,678,1.0801137310051504E+002,1.2553184377623601E+000,1.3999999999999997E+000,3.3444633946038905E+001,-9.8999999999999986E+001,0.0000000000000000E+000,9.9999999865462497E-001,2.3258624966779454E-002,0.0000000000000000E+000,0.0000000000000000E+000,9.9999999865462497E-001,2.3258624966779454E-002,0.0000000000000000E+000,0.0000000000000000E+000,-5.4876248874131042E+000,-9.8999999999999986E+001,-2.1072099696478681E+001,-5.4876248874131042E+000,-5.4876248874260813E+000,-1.6012223353383071E+001,-9.8999999999999986E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,3.6778669669216346E+000,5.7566724018060000E-001,4.5475284711152780E-001,3.6746899687583152E+000,0.0000000000000000E+000,1.4433739601944614E+001,-2.7313565503426829E-001,6.5813925672964038E+000,6.2123932358134615E-001,8.5000496627251132E-001,1.2966429887660340E+000,6.9999999999990803E-001,2.7997020236474890E-001,3.4468833607861249E-003,9.3805276451495410E-003,3.4468833607861327E-003,9.3805276451495393E-003,9.7999999999998966E-001,3.9195828331064847E-001,0,2
85,678,2.6876693432947360E+002,1.6512246680004841E+000,1.3999999999999997E+000,3.3444633946038905E+001,-9.8999999999999986E+001,0.0000000000000000E+000,9.9999999865462497E-001,2.3267941148876384E-002,0.0000000000000000E+000,0.0000000000000000E+000,9.9999999865462497E-001,2.3267941148876384E-002,0.0000000000000000E+000,0.0000000000000000E+000,-5.4873484335553391E+000,-9.8999999999999986E+001,-9.8999999999999986E+001,-5.4873484335553391E+000,-5.4873484335683349E+000,-1.6011341227838397E+001,-9.8999999999999986E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,3.6778669372138468E+000,5.7561060076730775E-001,4.5472458682045697E-001,3.6747464893404573E+000,0.0000000000000000E+000,1.4433851662177940E+001,-2.7304978669998781E-001,6.5814187575030543E+000,6.2123931031069235E-001,8.5000496627246547E-001,1.2966429887661879E+000,6.9999999999977081E-001,2.7997020236474879E-001,3.4468833607861236E-003,9.3805276451495410E-003,3.4468833607861327E-003,9.3805276451495393E-003,9.7999999999997578E-001,3.9195828331064847E-001,0,2
90,678,6.6877821244671566E+002,2.0471308982386081E+000,1.3999999999999997E+000,3.3444633946038905E+001,-9.8999999999999986E+001,0.0000000000000000E+000,9.9999999865462497E-001,2.3291993687066765E-002,0.0000000000000000E+000,0.0000000000000000E+000,9.9999999865462497E-001,2.3291993687066765E-002,0.0000000000000000E+000,0.0000000000000000E+000,-5.4866608040475926E+000,-9.8999999999999986E+001,-9.8999999999999986E+001,-5.4866608040475926E+000,-5.4866608040606328E+000,-1.6009147291604823E+001,-9.8999999999999986E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,-2.0000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,3.6778668621983868E+000,5.7546971119607560E-001,4.5465429206576169E-001,3.6748870788498476E+000,0.0000000000000000E+000,1.4434130409168322E+001,-2.7283618190282116E-001,6.5814838956338617E+000,6.2123927730885342E-001,8.5000496627235167E-001,1.2966429887665707E+000,6.9999999999942908E-001,2.7997020236474879E-001,3.4468833607861223E-003,9.3805276451495393E-003,3.4468833607861327E-003,9.3805276451495393E-003,9.7999999999993836E-001,3.9195828331064847E-001,0,2
