Mr,L,P,R,T,rho,epsilon,kappa,del_ad,del_nabla,Shell
1.8263233123312328e+33,1.199722464993637e+34,3986411150477446.0,34192960505.990036,6029395.931428808,4.934778663436256,0.016898192772751418,9977000638.225914,0.3990026421599076,0.025181594853610382,Rad
1.8264625562556257e+33,1.1997226947203317e+34,3985435310893493.0,34194867466.4352,6028809.892687583,4.934050840023916,0.01688662556673648,9977000638.225342,0.3990027850142951,0.02518330566757083,Rad
1.8266018001800183e+33,1.1997229242799704e+34,3984459622008045.0,34196774487.492558,6028223.858728558,4.933323057447179,0.01687506492067366,9977000638.225506,0.39900292786071884,0.02518501705525417,Rad
1.8267410441044103e+33,1.199723153672651e+34,3983484083780528.0,34198681569.216354,6027637.829524387,4.932595315691958,0.01686351083116868,9977000638.225668,0.399003070699189,0.025186729017063834,Rad
1.826880288028803e+33,1.199723382898473e+34,3982508696170377.0,34200588711.660854,6027051.805047727,4.931867614744158,0.016851963294829214,9977000638.225872,0.399003213529716,0.025188441553403437,Rad
1.8270195319531955e+33,1.1997236119575336e+34,3981533459137062.0,34202495914.880302,6026465.785271253,4.931139954589696,0.016840422308265178,9977000638.22571,0.39900335635231,0.02519015466467666,Rad
1.8271587758775878e+33,1.1997238408499324e+34,3980558372640063.0,34204403178.928955,6025879.7701676525,4.930412335214469,0.016828887868088564,9977000638.225342,0.3990034991669816,0.02519186835128719,Rad
1.8272980198019802e+33,1.199724069575767e+34,3979583436638880.0,34206310503.861095,6025293.759709615,4.929684756604375,0.016817359970913458,9977000638.22526,0.39900364197374033,0.025193582613638865,Rad
1.8274372637263728e+33,1.1997242981351363e+34,3978608651093027.0,34208217889.730995,6024707.753869847,4.928957218745302,0.016805838613356074,9977000638.225302,0.399003784772597,0.025195297452135515,Rad
1.827576507650765e+33,1.1997245265281383e+34,3977634015962048.0,34210125336.592934,6024121.752621064,4.928229721623149,0.01679432379203466,9977000638.225424,0.3990039275635616,0.025197012867181144,Rad
1.8277157515751574e+33,1.1997247547548713e+34,3976659531205496.0,34212032844.501213,6023535.755935991,4.927502265223795,0.016782815503569692,9977000638.22579,0.3990040703466445,0.025198728859179714,Rad
1.82785499549955e+33,1.199724982815434e+34,3975685196782944.0,34213940413.51012,6022949.763787362,4.92677484953312,0.016771313744583655,9977000638.225506,0.3990042131218557,0.025200445428535397,Rad
1.8279942394239423e+33,1.1997252107099243e+34,3974711012653988.0,34215848043.673965,6022363.776147925,4.926047474537002,0.016759818511701108,9977000638.225342,0.39900435588920563,0.025202162575652318,Rad
1.8281334833483347e+33,1.1997254384384403e+34,3973736978778238.0,34217755735.047062,6021777.792990436,4.925320140221311,0.01674832980154871,9977000638.225464,0.3990044986487042,0.025203880300934754,Rad
